Removed Pin From Net: NetName=VCC_5V Pin=*3-1
Removed Pin From Net: NetName=VCC_3V3 Pin=*3-2
Removed Pin From Net: NetName=GND_D Pin=*3-3
Removed Pin From Net: NetName=S_PD2 Pin=*3-4
Removed Pin From Net: NetName=E_IO39 Pin=*3-5
Removed Pin From Net: NetName=E_IO34 Pin=*3-6
Removed Pin From Net: NetName=E_IO35 Pin=*3-7
Removed Pin From Net: NetName=E_IO25 Pin=*3-8
Removed Member From Class: ClassName=VET6_Coreboard Member=*3
Change component parameters: Designator = "1" ("1"); Footprint = "HDR2.54-LI-20P"; UniqueID = "\BISKMIEB" ("\BISKMIEB")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circluar Pins/Square Pins"; Value = "方针"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "黑色"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "黄铜"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Max)"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "2.54-1*20P直针"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Height"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "2.54mm 1x20P 直插 方针"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length of End Connection Pin"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length of Mating Pin"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "BOOMELE(博穆精密)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "2.54-1*20P直针"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "直插"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "1*20P排针"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "单排"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-40℃~+105℃"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Structure"; Value = "1x20P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "直插,P=2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C50981"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "Header-Male-2.54_1x20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (Max)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters: Designator = "P1" ("P1"); Footprint = "CONN-TH_XY301V-A-5.0-2P"; UniqueID = "\FFTNEUWH" ("\FFTNEUWH")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.comnull"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "KF301-2P???????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "?????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "KF301-2P???????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "KF301-2P???????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "KF301-2P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "CK301-2P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C9900016950"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "KF301-2P???????"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q1" ("Q1"); Footprint = "SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"; UniqueID = "\QITXRBFA" ("\QITXRBFA")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector Current (Ic)"; Value = "1.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector Cut-Off Current (Icbo)"; Value = "100nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector-Emitter Breakdown Voltage (Vceo)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector-Emitter Saturation Voltage (VCE(sat)@Ic,Ib)"; Value = "500mV@800mA,80mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20230322/AEE86F4B043774EFF80CAEA14A37D9E9.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current Gain (hFE@Ic,Vce)"; Value = "200@100mA,1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "SS8050_C2150"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "??????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "NPN ????:1.5A ???:25V hfe=200~350"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CJ(???????/????)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "SS8050"; VariantName = "[No Variations]"
